agricultrendspricechangeregression.country,agricultrendspricechangeregression.crop,agricultrendspricechangeregression.coefficient,agricultrendspricechangeregression.intercept
Colombia,Bananas,5.078993399612579E-6,4.671381720329021E-4
Kazakhstan,Onions dry,9.407851058092714E-6,9.389523916683774E-5
New Zealand,Pears,2.735561093725574E-5,1.7626614143407884E-4
New Zealand,Onions shallots green,1.7358070374225517E-6,3.159751511742659E-5
Madagascar,Vegetables fresh nes,2.784998518200299E-6,1.8800592512495292E-4
C�te d'Ivoire,Fruit tropical fresh nes,6.749106283984117E-6,1.7351487492317344E-5
Bolivia (Plurinational State of),Vegetables leguminous nes,8.669786575193167E-6,2.4639854992305213E-4
C�te d'Ivoire,Maize green,2.144388618113451E-6,3.716987804762005E-5
Honduras,Wheat,-8.095636996903553E-6,8.127927074619606E-5
Qatar,Cauliflowers and broccoli,-2.066838494089229E-6,6.154649788849782E-6
Sri Lanka,Cow peas dry,1.6193159551981767E-5,4.03852824671582E-4
Bolivia (Plurinational State of),Barley,4.448543311610414E-5,2.018416840115508E-4
Hungary,Pumpkins squash and gourds,1.372831732517549E-5,3.0273060358622475E-4
Ukraine,Rice paddy,1.0716632910361948E-5,2.888767221208783E-4
Malaysia,Maize,2.312177909319015E-6,2.6054924879647662E-5
Sri Lanka,Cassava,-2.5461617540209835E-5,2.518336756959674E-4
Mozambique,Tea,9.317806565733174E-6,1.918324967129505E-4
Venezuela (Bolivarian Republic of),Fruit fresh nes,2.879471109354352E-6,6.978990885379068E-5
Nepal,Plums and sloes,8.85743004686958E-6,6.181051365657786E-4
Uruguay,Broad beans horse beans dry,1.3913115457031174E-5,8.107106924659204E-4
Latvia,Grain mixed,-4.968627862777694E-6,9.174258782798212E-5
Mexico,Fruit fresh nes,9.015980358949549E-5,5.595126676995557E-4
Spain,Sugar cane,1.4005293687619394E-5,5.09962860090403E-4
Switzerland,Hops,-2.4295992940402227E-5,5.186048842005884E-5
Tunisia,Eggplants aubergines,3.510763265680378E-6,3.506080038540774E-5
Denmark,Onions dry,1.68287123891251E-6,6.54218781659248E-5
Denmark,Mustard seed,1.5315280471298298E-5,3.700196180541742E-5
Chad,Sorghum,-2.8358077847249135E-6,1.0220435105791437E-5
Spain,Hempseed,-3.5338290059055723E-6,1.3858138957875682E-4
France,Mustard seed,2.6905289420811238E-5,6.618358469172525E-5
Latvia,Barley,1.5096963141414295E-5,6.22258116080298E-5
Namibia,Pulses nes,4.77682073570282E-6,1.6686466197236326E-4
Dominican Republic,Cucumbers and gherkins,1.4293533331863768E-5,2.616094824507485E-4
Georgia,Watermelons,1.426634181238675E-5,1.832511307684142E-4
Niger,Sesame seed,-2.550623759873624E-6,4.746976014532095E-5
Australia,Groundnuts with shell,-2.604949836492175E-5,2.345438460372892E-4
Bhutan,Mangoes mangosteens guavas,1.617286614786958E-5,3.235733129458686E-6
Latvia,Rapeseed,-6.60191105068178E-5,7.85475641462791E-5
Lao People's Democratic Republic,Potatoes,-1.1460076496687794E-5,2.135562294391687E-4
Israel,Figs,2.3430846308098902E-5,1.4768356211140025E-4
Mexico,Mustard seed,7.43512166580447E-6,1.9239785409441457E-4
Greece,Tangerines mandarins clementines satsumas,2.67246817948072E-5,8.755477198293936E-5
Saint Lucia,Oranges,-5.172674429370537E-5,2.1784246552259106E-4
Turkey,Beans dry,1.7749595909148174E-5,0.0015648740313634654
Malaysia,Papayas,-1.4264350987245408E-6,4.798468475462854E-5
Iran (Islamic Republic of),Apricots,-5.241316033178267E-6,5.967315219591221E-4
Germany,Peaches and nectarines,-2.8276366931303377E-5,2.8047368603831754E-5
Thailand,Maize,1.5297742360029138E-5,1.6004056976689764E-4
Cameroon,Oil palm fruit,2.539256196906333E-6,4.909029793575163E-5
Czechia,Apricots,-1.3166541362977645E-5,9.258966190501317E-6
Russian Federation,Beans dry,1.4234038522113848E-5,1.2998484746755895E-4
Indonesia,Watermelons,7.539496596110489E-6,2.4599901664433915E-5
Portugal,Apples,2.6871360214687978E-6,8.935090523681427E-4
Yemen,Carrots and turnips,2.70120773599125E-5,6.616420851670234E-4
Oman,Bananas,-9.547320656035391E-9,1.2264543080544087E-7
Morocco,Bananas,-3.523098886638206E-6,1.255609993434217E-5
China,Onions dry,4.333219845518468E-8,-7.1234217713296675E-6
Bosnia and Herzegovina,Carrots and turnips,-1.1255172605455404E-5,7.871408716462593E-5
Mexico,Canary seed,9.775845888775959E-5,6.361866123243354E-4
Cyprus,Cabbages and other brassicas,-1.589164632609023E-5,8.379452866747982E-5
Ethiopia,Oats,-3.2164969245858176E-6,1.215613482360399E-4
Panama,Watermelons,1.4744573770766692E-5,7.671912835510088E-5
Cyprus,Vetches,1.2742522772479373E-5,1.8110783990567914E-4
Slovenia,Potatoes,-3.204717480258378E-5,1.1349613083422961E-4
Cuba,Pumpkins squash and gourds,-1.654121867008767E-5,3.1717015135537504E-4
Mali,Sesame seed,4.717903213824081E-5,3.269619620233009E-5
Israel,Grapefruit inc. pomelos,-1.1499390452021708E-4,0.0018301650974653927
Seychelles,Lemons and limes,-9.073873883632313E-7,-1.8552007441452885E-5
Yemen,Sorghum,-1.0867192829614167E-5,1.3287093065894316E-4
Kenya,Millet,-5.612301050998108E-6,2.588554950588894E-4
Sri Lanka,Cinnamon cannella,9.399281265396737E-6,3.937018492505247E-4
Argentina,Beans green,-4.6132842119780726E-5,5.949788184782314E-4
Congo,Plantains and others,2.443442540995732E-5,1.034337722331999E-4
United Republic of Tanzania,Peas green,5.343941266305588E-6,2.8402550865906575E-4
Tajikistan,Nuts nes,3.057506094150242E-7,3.917840147850275E-6
Congo,Fruit fresh nes,4.9059114495418896E-5,1.7760330139024257E-4
Chile,Beans dry,-1.2162337808742507E-4,8.254544999052321E-4
Mauritius,Okra,1.1974190075408654E-5,4.627398067483139E-5
Romania,Strawberries,9.285607396561936E-5,4.877755256312201E-4
United States of America,Fruit citrus nes,-1.0358980327975108E-5,5.281131802876404E-6
Dominican Republic,Papayas,1.5331193675313892E-4,3.408206131311613E-4
Russian Federation,Strawberries,1.53498828212615E-5,1.6360366466298918E-4
Japan,Cauliflowers and broccoli,-1.3845948023123564E-5,1.2729663443191404E-4
Lebanon,Bananas,-3.4420744336271537E-6,1.7144088118044794E-4
Argentina,Grapes,-2.713496221647911E-5,0.0014906149743753963
Lithuania,Cabbages and other brassicas,-5.3100766656226814E-5,5.446759601763906E-5
Jordan,Chillies and peppers green,-2.6276411721630832E-5,2.1799186407831704E-4
Congo,Roots and tubers nes,1.6111236960729652E-6,1.344475244151998E-4
Nepal,Pears,-3.276284435893376E-5,3.4839445231775245E-4
Syrian Arab Republic,Apples,-8.187790942926819E-6,1.75169847890531E-4
Lebanon,Cucumbers and gherkins,7.460533438509018E-6,1.689164238805986E-4
Israel,Chillies and peppers green,7.325645057701811E-7,1.0901684399779724E-4
Austria,Peas green,3.733882820291232E-5,3.416184986306456E-4
Ukraine,Hops,-1.4689163595271071E-5,2.166456989703645E-5
Egypt,Cauliflowers and broccoli,1.998622205063687E-5,2.1331448220821093E-4
Azerbaijan,Raspberries,8.684870229617267E-7,4.08808299996275E-5
Pakistan,Onions dry,1.9368761063255197E-5,1.7440286170395766E-4
Mozambique,Onions dry,-8.444409897135937E-5,3.8510465974935513E-4
Malaysia,Cassava,-2.8797328952666952E-6,2.0490831774131453E-4
Malawi,Spices nes,-1.626046308063371E-6,1.761733744783547E-5
Germany,Rye,-1.0407851927469595E-5,2.3682352849276593E-5
Sri Lanka,Pepper piper spp.,1.6749127232221563E-5,3.6077758643604426E-4
Philippines,Yams,-1.5198482908913257E-5,2.45769058484822E-4
Brazil,Pepper piper spp.,-5.3815942055962067E-5,4.1907149683288026E-4
Azerbaijan,Fruit citrus nes,1.0862545674456876E-4,1.091008904244149E-4
Indonesia,Carrots and turnips,7.090830377770267E-6,2.973183364458762E-4
Albania,Sunflower seed,9.125865648243821E-6,1.4371337726758939E-4
Slovakia,Plums and sloes,-1.770174136501148E-5,4.944899524634786E-5
Sri Lanka,Tomatoes,-3.402653167491075E-5,5.484396345699393E-4
Cuba,Cocoa beans,4.751460493765367E-5,2.5562520076996017E-4
Brunei Darussalam,Chillies and peppers green,2.9846315483276127E-6,-2.2699847114571365E-5
Peru,Cereals nes,-8.153012549119606E-5,2.4644199168305877E-4
Tunisia,Cucumbers and gherkins,-4.678141122379776E-5,1.8500971908255013E-4
Kenya,Spices nes,3.1994268311454647E-7,1.1828609075186162E-4
Chile,Garlic,-2.0568167604333468E-5,1.3051780547546944E-4
Viet Nam,Oranges,1.2484570480684598E-6,5.25589946856872E-5
Viet Nam,Jute,1.5043413665500078E-5,2.3937475071865986E-5
Cyprus,Vegetables leguminous nes,-4.593251501995589E-6,2.645276960989962E-4
El Salvador,Pineapples,-8.036176263851816E-5,5.015688312545924E-4
Dominican Republic,Lettuce and chicory,-9.204452420975665E-5,7.920888130023195E-4
Kyrgyzstan,Tomatoes,-6.737231930518857E-7,8.691691967341311E-5
France,Garlic,-1.0408848892325434E-5,1.5326184926242825E-4
Mozambique,Papayas,-6.567056803246324E-7,1.6808478992235524E-4
Morocco,Millet,-2.579911813993978E-5,2.143808643039752E-4
Iraq,Watermelons,4.1582589100610786E-6,-7.957017785078193E-6
C�te d'Ivoire,Taro cocoyam,2.523835210005985E-5,2.6286119023255126E-4
Switzerland,Onions dry,1.1187904674727054E-6,1.217379846486568E-5
Germany,Raspberries,1.2810627332608847E-4,4.5618596427240895E-4
Kenya,Coconuts,1.6662644489682633E-6,1.567164366931348E-4
Georgia,Cucumbers and gherkins,-1.7342082690968077E-5,3.0529563005090736E-4
Chad,Cassava,1.3347344137220752E-5,5.5197543031231215E-5
China,Coconuts,2.4073119312953873E-5,-6.674194262358251E-6
China,Seed cotton,7.720526710359278E-6,1.172568444016199E-4
Fiji,Mangoes mangosteens guavas,4.3286162756005876E-5,1.3399746588097462E-4
Luxembourg,Maize,-6.166451517649982E-6,2.5540274502136007E-5
Dominican Republic,Avocados,3.6443500085535546E-5,2.985599979716362E-4
Chile,Beans green,-7.558173315734812E-6,8.074740966337162E-4
Suriname,Cocoa beans,-1.9448454486028518E-5,3.2856943748369664E-4
Republic of Moldova,Rapeseed,2.2361510547964316E-5,5.268966092923004E-5
Ireland,Oats,6.547134443134197E-6,1.521340304844006E-4
Argentina,Flax fibre and tow,1.2773382634780964E-5,5.502966790029625E-4
Saint Lucia,Sweet potatoes,-2.5102011728643455E-5,3.84612643642237E-5
Cameroon,Cocoa beans,4.081582667365637E-6,1.7859850146900464E-4
Japan,Hops,-1.9011471229930262E-4,3.459740073892233E-4
Australia,Peas green,-2.1870029411329985E-6,1.1258406720909082E-4
Croatia,Garlic,5.868655179542506E-6,-4.5142856532432867E-5
Iraq,String beans,7.232142272250455E-7,2.9096397828860184E-5
France,Apples,-1.141273403474175E-5,4.0827410811160184E-4
Spain,Walnuts with shell,1.0288559677758132E-6,1.6360931456373598E-4
Cuba,Papayas,-1.2555412375349067E-6,3.551028109835044E-4
Russian Federation,Flax fibre and tow,8.3441931075732E-5,4.312713074168246E-4
Belgium,Pears,3.444748285453103E-6,8.46686581231886E-6
Italy,Almonds with shell,-3.280582341762042E-5,1.2729352788581373E-4
Bolivia (Plurinational State of),Coffee green,2.504785268363802E-5,3.8363166942829866E-4
Czechia,Plums and sloes,-2.9802847279623237E-6,9.011376511991523E-5
Lebanon,Wheat,-1.5329526280428453E-6,1.6283509201635835E-4
New Zealand,Cabbages and other brassicas,4.238954305328651E-5,2.427211742771112E-4
Chad,Beans dry,-2.4935102038726455E-4,8.113395466573008E-5
United States of America,Maize green,-6.860067175908117E-7,2.295121921327574E-4
Nigeria,Fonio,2.2972330900267646E-4,3.7483599823212436E-4
Netherlands,Currants,-4.365052441007264E-6,7.665216524880635E-5
France,Oats,-2.1466390666860407E-5,1.265392520646689E-4
Albania,Wheat,1.7495869591397738E-5,2.9965819105064125E-4
Ghana,Oranges,-3.032504089701E-6,1.7379436458406626E-4
Italy,Berries nes,4.76852501702252E-8,-2.816506227796205E-6
Peru,Cow peas dry,1.5602060965319985E-6,1.1073927043205918E-4
C�te d'Ivoire,Papayas,2.8462746112680967E-4,6.823534624378499E-4
Brunei Darussalam,Tomatoes,-4.354052434764436E-6,-1.0098642835539611E-5
Romania,Hemp tow waste,3.471457275205274E-5,1.1749658752569343E-4
Czechia,Cauliflowers and broccoli,-5.591340161015786E-6,3.0012326829796276E-5
Tunisia,Tomatoes,-6.577305339585243E-7,1.8737442031014484E-4
Mexico,Olives,-2.2113346080189972E-4,3.185100850504556E-4
Uruguay,Groundnuts with shell,-2.127404606395797E-6,2.1441210535711507E-4
Slovakia,Pears,-1.4018844526424797E-5,4.1631309680349325E-5
Armenia,Apples,-2.9218483775169854E-5,7.54996263691787E-5
Cyprus,Tobacco unmanufactured,2.9376397688504183E-5,9.911634065787613E-5
Congo,Tomatoes,-1.0476412759410833E-6,1.5764677115256832E-4
Costa Rica,Watermelons,1.869396694028945E-7,4.390438054238412E-6
Slovakia,Barley,-1.5826987807147843E-5,5.860365889173508E-5
Azerbaijan,Garlic,0.0011128681955569746,2.2030512703132503E-4
Kazakhstan,Peas dry,0.0,0.0
Brazil,Oil palm fruit,1.4167575128145546E-4,6.147344809225267E-4
Kyrgyzstan,Triticale,-3.225484183871419E-6,1.548465502032089E-5
Argentina,Cherries,2.4622325534601777E-7,3.0942278350104403E-6
North Macedonia,Apples,-2.4210293894591962E-5,7.881182935308355E-5
Mauritius,Beans green,6.531277044423794E-5,4.2179796440336756E-4
Bangladesh,Cauliflowers and broccoli,1.4899501413307925E-5,3.5439476247993895E-4
Norway,Pears,-9.496710599856157E-5,1.1946380222264071E-4
Ecuador,Carrots and turnips,-1.3950615577985545E-5,6.682748589299154E-4
Egypt,Apples,1.3013977449992989E-5,1.3176387038251326E-4
Spain,Triticale,5.741174711881712E-5,2.2321963268171754E-4
Ghana,Yams,-1.574497358350265E-4,5.391419324690478E-4
Nicaragua,Sesame seed,1.1875253140303853E-4,5.754545153125231E-4
Zimbabwe,Maize,5.182832763659301E-4,0.0013085721318353402
United States of America,Spinach,1.0210876044354496E-4,6.604845319801347E-4
Bangladesh,Peas dry,-3.6002952815464964E-7,2.000164045303609E-6
Mozambique,Pulses nes,1.1019167385568275E-5,1.9589575179874098E-4
Saudi Arabia,Grapes,1.200533576868628E-5,9.485317892534993E-5
Bosnia and Herzegovina,Raspberries,-2.466219635568837E-6,7.533334443898981E-5
Spain,Onions dry,3.0954975613216686E-4,7.717360771930925E-4
Ukraine,Rapeseed,2.0566710249863713E-5,5.5331444408427934E-5
Argentina,Apples,-7.205983071328258E-5,8.217676797881796E-4
Russian Federation,Peas dry,-1.4891010942122832E-5,6.782989984240118E-5
Belize,Peas dry,-7.886085238159513E-7,3.136996004597727E-6
Honduras,Cassava,1.226235270839698E-5,2.5034496045161565E-4
Mauritius,Carrots and turnips,-2.4880641999267044E-5,5.910225089453772E-5
China,Soybeans,3.087485941342021E-6,1.1300284946126561E-5
Trinidad and Tobago,Pigeon peas,1.0535736142038821E-5,1.0700209397252276E-4
Madagascar,Wheat,7.313982118131504E-5,8.434673685299067E-5
Tunisia,Chillies and peppers dry,3.733434668366802E-7,1.6396682865125157E-5
Cabo Verde,Fruit fresh nes,-1.4180180467246664E-6,3.323560650391998E-5
Slovenia,Wheat,-6.001683574395209E-7,5.140271466625715E-5
Iceland,Cauliflowers and broccoli,2.247670213554352E-6,3.7527567401433225E-4
Slovakia,Peas green,-7.766315088845412E-8,2.7442433029583416E-6
South Africa,Vegetables fresh nes,-3.244785103695775E-5,1.5181584261095293E-4
Burkina Faso,Lemons and limes,2.133473490815605E-10,-8.516019344071051E-6
Peru,Rice paddy,-9.02821503393426E-6,6.279372572157715E-4
North Macedonia,Onions dry,4.7269291665262525E-7,5.217293347769852E-5
Greece,Grapefruit inc. pomelos,-7.325472467216223E-5,1.8362384082397322E-4
