agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Bastfibres other,300,25,37649.0,1,37649.0
Linseed,70,6,5000.0,1,5000.0
Fruit Primary,140,12,565191.0,4,141297.75
Anise badian fennel coriander,40,13,47113.0,8,5889.125
Canary seed,80,16,6897.0,1,6897.0
Cereals nes,30,23,8623.0,1,8623.0
Spices nes,290,26,20000.0,2,10000.0
Sugar cane,130,18,1789102.0,3,596367.3333333334
Roots and tubers nes,20,26,25882.0,1,25882.0
Rye,70,8,97100.0,3,32366.666666666668
Berries nes,0,21,45000.0,1,45000.0
Soybeans,120,5,25723.0,1,25723.0
Cauliflowers and broccoli,120,24,503250.0,3,167750.0
Pepper piper spp.,160,27,267482.0,5,53496.4
Fruit citrus nes,10,6,100000.0,1,100000.0
Artichokes,30,10,195141.0,2,97570.5
Castor oil seed,40,25,3307.0,1,3307.0
Chillies and peppers green,20,12,700000.0,1,700000.0
Treenuts Total,180,27,102683.0,3,34227.666666666664
Vanilla,270,25,5982.0,2,2991.0
Sweet potatoes,330,23,51200.0,1,51200.0
Fibre crops nes,130,11,58299.0,1,58299.0
Gooseberries,20,2,118333.0,4,29583.25
Melons other inc.cantaloupes,50,23,102253.0,1,102253.0
Grapes,120,7,88797.0,1,88797.0
Sunflower seed,40,27,9204.0,1,9204.0
Mangoes mangosteens guavas,80,12,153107.0,2,76553.5
Beans green,40,27,50000.0,1,50000.0
Oilcrops Cake Equivalent,130,7,15085.0,1,15085.0
Cauliflowers and broccoli,160,27,62000.0,1,62000.0
Onions dry,260,27,231333.0,1,231333.0
Coffee green,220,22,4742.0,1,4742.0
Linseed,80,8,31681.0,3,10560.333333333334
Peas green,110,4,48018.0,1,48018.0
Oilcrops Cake Equivalent,370,23,2642.0,1,2642.0
Seed cotton,70,21,435135.0,43,10119.418604651162
Wheat,50,8,2315044.0,57,40614.80701754386
Sesame seed,260,24,21332.0,4,5333.0
Avocados,220,25,810352.0,16,50647.0
Barley,0,23,668026.0,44,15182.40909090909
Onions dry,40,6,7026100.0,40,175652.5
Carrots and turnips,90,7,3665282.0,9,407253.55555555556
Barley,60,12,441108.0,22,20050.363636363636
Chick peas,60,16,73311.0,7,10473.0
Maize,0,22,2199397.0,84,26183.29761904762
Strawberries,80,10,3158874.0,19,166256.52631578947
Chillies and peppers green,60,10,2.5693668E7,27,951617.3333333334
Beans green,60,10,2953562.0,29,101846.96551724138
Potatoes,140,10,7027606.0,21,334647.90476190473
Groundnuts with shell,50,6,636220.0,27,23563.703703703704
String beans,50,7,1948590.0,26,74945.76923076923
Bananas,10,20,2427004.0,12,202250.33333333334
Raspberries,40,9,962091.0,25,38483.64
Rye,130,9,64514.0,2,32257.0
Onions dry,70,10,1.0283645E7,32,321363.90625
Tobacco unmanufactured,140,19,191687.0,8,23960.875
Coarse Grain Total,50,27,65960.0,9,7328.888888888889
Cashew nuts with shell,90,22,64140.0,11,5830.909090909091
Sweet potatoes,120,27,859782.0,19,45251.68421052631
Apples,60,11,4482988.0,21,213475.61904761905
Roots and tubers nes,230,26,1033695.0,15,68913.0
Vegetables Primary,0,18,3117085.0,19,164057.1052631579
Oats,50,16,108850.0,7,15550.0
Pulses nes,50,16,65509.0,4,16377.25
Potatoes,120,19,646454.0,8,80806.75
Asparagus,180,26,306927.0,4,76731.75
Ginger,180,26,575309.0,8,71913.625
Figs,50,15,1504563.0,35,42987.514285714286
Pulses Total,50,15,375569.0,35,10730.542857142857
Groundnuts with shell,160,25,523833.0,43,12182.162790697674
Vegetables Primary,140,24,5950023.0,64,92969.109375
Vegetables fresh nes,130,25,5536013.0,74,74810.98648648648
Anise badian fennel coriander,50,21,1109590.0,26,42676.53846153846
Garlic,60,5,45214.0,2,22607.0
Maize,130,27,496533.0,19,26133.315789473683
Millet,40,14,725562.0,44,16490.045454545456
Carrots and turnips,140,12,904354.0,4,226088.5
Tangerines mandarins clementines satsumas,140,12,644528.0,3,214842.66666666666
Bastfibres other,160,22,39528.0,9,4392.0
Oilseeds nes,100,12,47008.0,7,6715.428571428572
Roots and Tubers Total,100,12,1827292.0,15,121819.46666666666
Sorghum,130,25,662117.0,46,14393.847826086956
Chillies and peppers green,130,26,2092030.0,25,83681.2
Pulses Total,50,14,299862.0,31,9672.967741935483
Sweet potatoes,140,9,627172.0,4,156793.0
Sugar beet,60,15,6729469.0,14,480676.35714285716
Mangoes mangosteens guavas,70,23,1356244.0,18,75346.88888888889
Apricots,30,-6,870512.0,19,45816.42105263158
Maize green,290,26,14803.0,4,3700.75
Cabbages and other brassicas,130,19,1069221.0,8,133652.625
Castor oil seed,130,26,99590.0,12,8299.166666666666
Sweet potatoes,150,10,281179.0,3,93726.33333333333
Vegetables leguminous nes,130,20,178787.0,4,44696.75
Onions dry,70,27,2119555.0,16,132472.1875
Wheat,130,25,191390.0,17,11258.235294117647
Anise badian fennel coriander,40,18,100957.0,6,16826.166666666668
Berries nes,40,2,127127.0,10,12712.7
Vegetables Primary,60,27,3364302.0,28,120153.64285714286
Berries nes,10,16,198874.0,6,33145.666666666664
Seed cotton,170,25,409119.0,33,12397.545454545454
Maize green,30,18,2185742.0,22,99351.90909090909
Buckwheat,80,6,27429.0,3,9143.0
Pulses Total,190,28,31853.0,5,6370.6
Okra,50,21,971943.0,15,64796.2
Areca nuts,140,22,20433.0,2,10216.5
Tea,140,27,127387.0,19,6704.578947368421
Sesame seed,10,24,187025.0,27,6926.851851851852
Wheat,10,24,425431.0,28,15193.964285714286
Nuts nes,30,17,189263.0,5,37852.6
Eggplants aubergines,60,9,1.5610789E7,11,1419162.6363636365
Sunflower seed,60,9,372367.0,17,21903.941176470587
Vegetables Primary,30,-8,3911827.0,25,156473.08
Potatoes,70,2,1405869.0,8,175733.625
Cherries sour,110,9,144479.0,2,72239.5
Beans dry,110,9,243810.0,6,40635.0
Rye,60,1,109951.0,2,54975.5
Cabbages and other brassicas,60,1,1229113.0,4,307278.25
Sorghum,100,23,199566.0,19,10503.473684210527
Flax fibre and tow,140,10,62182.0,7,8883.142857142857
Plums and sloes,100,17,107469.0,2,53734.5
Mushrooms and truffles,40,14,5.37788E7,16,3361175.0
Pineapples,110,19,1406965.0,9,156329.44444444444
Cucumbers and gherkins,110,19,793912.0,6,132318.66666666666
Potatoes,120,12,1655749.0,11,150522.63636363635
Tea,120,12,114597.0,8,14324.625
Cocoa beans,290,26,11804.0,3,3934.6666666666665
Currants,40,21,828708.0,18,46039.333333333336
Oats,120,24,11933.0,2,5966.5
Pulses Total,60,14,60896.0,6,10149.333333333334
Hops,40,9,228376.0,32,7136.75
Spices nes,70,10,19491.0,1,19491.0
Oilcrops Oil Equivalent,120,20,49940.0,9,5548.888888888889
Carrots and turnips,210,25,1430546.0,10,143054.6
Yautia cocoyam,210,25,764044.0,10,76404.4
Maize green,70,7,285951.0,2,142975.5
Pears,50,24,847479.0,11,77043.54545454546
Seed cotton,150,22,115141.0,11,10467.363636363636
Pulses nes,60,7,341956.0,12,28496.333333333332
Sugar beet,150,21,311350.0,4,77837.5
Linseed,110,9,104578.0,7,14939.714285714286
Beans dry,10,6,37407.0,4,9351.75
Pears,10,6,137210.0,4,34302.5
Chillies and peppers green,30,28,258553.0,4,64638.25
Cereals Total,70,28,134158.0,15,8943.866666666667
Oranges,100,22,597818.0,6,99636.33333333333
Carrots and turnips,100,22,912169.0,9,101352.11111111111
Walnuts with shell,100,9,1783546.0,6,297257.6666666667
Yautia cocoyam,250,22,159802.0,2,79901.0
Sorghum,110,18,261272.0,12,21772.666666666668
Barley,30,8,176420.0,10,17642.0
Citrus Fruit Total,110,27,1201744.0,22,54624.72727272727
Maize green,130,25,538757.0,16,33672.3125
Grapes,150,11,305742.0,3,101914.0
Potatoes,150,11,1354190.0,12,112849.16666666667
Linseed,150,11,2167.0,1,2167.0
Maize green,100,12,102500.0,1,102500.0
String beans,30,18,223808.0,1,223808.0
Almonds with shell,40,19,14757.0,5,2951.4
Sugar cane,110,21,2733630.0,4,683407.5
Potatoes,20,-2,291678.0,3,97226.0
Berries nes,20,20,1269184.0,25,50767.36
Oilcrops Cake Equivalent,90,18,65575.0,12,5464.583333333333
Onions dry,40,13,6536183.0,27,242080.85185185185
Cereals Total,50,22,39726.0,6,6621.0
Nuts nes,210,25,57072.0,6,9512.0
Spices nes,170,11,234398.0,5,46879.6
Persimmons,50,14,992185.0,6,165364.16666666666
Roots and tubers nes,30,18,336643.0,3,112214.33333333333
Cabbages and other brassicas,230,27,190357.0,1,190357.0
Cereals nes,60,28,15321.0,5,3064.2
Sisal,110,21,2000.0,1,2000.0
Grapes,70,14,96346.0,2,48173.0
Castor oil seed,180,27,20047.0,2,10023.5
Seed cotton,40,7,306940.0,9,34104.444444444445
Sweet potatoes,150,28,53504.0,7,7643.428571428572
Cabbages and other brassicas,70,24,535720.0,4,133930.0
Avocados,130,10,408846.0,16,25552.875
Pears,110,11,1053557.0,8,131694.625
Barley,20,2,65925.0,4,16481.25
Apricots,80,16,218600.0,3,72866.66666666667
Onions dry,250,26,439740.0,6,73290.0
Olives,100,10,115328.0,6,19221.333333333332
Areca nuts,210,25,47818.0,8,5977.25
Melonseed,60,27,33775.0,7,4825.0
Oats,80,9,375921.0,8,46990.125
Kiwi fruit,60,7,669224.0,5,133844.8
Soybeans,120,27,110781.0,10,11078.1
Fruit stone nes,30,15,105680.0,3,35226.666666666664
Lentils,140,9,35687.0,2,17843.5
Oilseeds nes,280,27,3540.0,1,3540.0
Treenuts Total,20,7,59651.0,2,29825.5
Coffee green,250,26,93238.0,10,9323.8
Tobacco unmanufactured,300,26,108333.0,3,36111.0
Vegetables leguminous nes,100,20,60933.0,4,15233.25
Taro cocoyam,360,22,317000.0,3,105666.66666666667
Beans dry,0,24,33864.0,2,16932.0
Plantains and others,190,26,1196218.0,16,74763.625
Oilcrops Oil Equivalent,100,16,3024.0,1,3024.0
Hemp tow waste,30,17,10879.0,1,10879.0
Melons other inc.cantaloupes,170,21,547398.0,5,109479.6
Nuts nes,100,21,31816.0,5,6363.2
Tomatoes,20,16,1702234.0,10,170223.4
Anise badian fennel coriander,190,23,15220.0,1,15220.0
Maize green,90,9,117251.0,2,58625.5
Peas dry,30,2,85681.0,5,17136.2
Tomatoes,0,16,477545.0,2,238772.5
Peaches and nectarines,130,21,147541.0,3,49180.333333333336
Asparagus,240,25,214795.0,5,42959.0
Fruit citrus nes,290,27,50000.0,1,50000.0
Ramie,160,24,88838.0,4,22209.5
Pulses Total,20,4,40209.0,3,13403.0
Maize green,120,27,70812.0,1,70812.0
Vegetables leguminous nes,90,12,125711.0,2,62855.5
Chillies and peppers green,140,22,426187.0,4,106546.75
Melons other inc.cantaloupes,10,26,262844.0,3,87614.66666666667
Sugar beet,10,11,415793.0,4,103948.25
Fruit Primary,140,28,234572.0,3,78190.66666666667
Oilcrops Oil Equivalent,80,4,1559.0,1,1559.0
Hemp tow waste,80,4,3143.0,1,3143.0
Figs,120,11,134987.0,1,134987.0
Cereals nes,100,23,9740.0,1,9740.0
Yams,60,22,71429.0,1,71429.0
Rye,120,8,28586.0,1,28586.0
Coarse Grain Total,90,15,26548.0,1,26548.0
Pears,160,11,423965.0,2,211982.5
Spices nes,100,21,26640.0,2,13320.0
Fruit citrus nes,150,23,36526.0,1,36526.0
Strawberries,130,6,384910.0,2,192455.0
Pears,60,19,114242.0,1,114242.0
Garlic,60,19,157106.0,1,157106.0
Onions shallots green,60,19,28364.0,1,28364.0
Vegetables Primary,60,26,46429.0,1,46429.0
Sunflower seed,90,4,5887.0,1,5887.0
Onions dry,90,4,100000.0,1,100000.0
Peas green,200,21,17336.0,1,17336.0
Cloves,170,25,3289.0,1,3289.0
Cereals Rice Milled Eqv,290,22,14118.0,1,14118.0
Roots and tubers nes,140,20,55837.0,1,55837.0
Vanilla,70,20,4055.0,1,4055.0
Rice paddy,50,17,23077.0,1,23077.0
Pears,170,12,11683.0,1,11683.0
Linseed,10,5,2250.0,1,2250.0
Pigeon peas,80,25,11111.0,1,11111.0
Cucumbers and gherkins,40,7,8072246.0,40,201806.15
Oilcrops Oil Equivalent,70,9,76622.0,10,7662.2
Rye,80,12,296104.0,13,22777.23076923077
Lemons and limes,60,25,523789.0,4,130947.25
Cucumbers and gherkins,0,25,2.6937108E7,52,518021.3076923077
Cereals Total,110,27,750375.0,22,34107.954545454544
Fruit tropical fresh nes,50,28,877297.0,15,58486.46666666667
Coarse Grain Total,50,3,333728.0,9,37080.88888888889
Eggplants aubergines,20,17,5838021.0,37,157784.35135135136
Watermelons,20,19,1.2997926E7,68,191145.9705882353
Eggplants aubergines,0,26,1.7941271E7,54,332245.75925925927
Peas green,40,13,1029346.0,27,38123.92592592593
Oats,30,-5,119593.0,7,17084.714285714286
Tobacco unmanufactured,50,8,778397.0,36,21622.13888888889
Rye,50,5,52937.0,3,17645.666666666668
Grapefruit inc. pomelos,240,26,148071.0,2,74035.5
Grapes,10,17,1904386.0,32,59512.0625
Cauliflowers and broccoli,20,18,9618945.0,48,200394.6875
Vegetables fresh nes,190,27,2019296.0,20,100964.8
Roots and Tubers Total,200,25,5190898.0,65,79859.96923076923
Citrus Fruit Total,180,25,3217856.0,42,76615.61904761905
Potatoes,80,22,3102107.0,41,75661.14634146342
Pulses Total,40,10,605519.0,49,12357.530612244898
Chillies and peppers green,180,21,93267.0,2,46633.5
Cereals Total,30,11,549155.0,22,24961.590909090908
Yams,90,23,113311.0,2,56655.5
Lupins,30,18,141336.0,23,6145.04347826087
Plums and sloes,30,18,2940765.0,37,79480.13513513513
Potatoes,30,18,9824233.0,50,196484.66
Seed cotton,80,28,45555.0,6,7592.5
Kola nuts,80,28,9064.0,3,3021.3333333333335
Sugar cane,110,23,6230270.0,15,415351.3333333333
Sweet potatoes,110,23,1033112.0,15,68874.13333333333
Coconuts,160,26,2002317.0,39,51341.46153846154
Quinces,30,16,726773.0,5,145354.6
Mustard seed,60,21,466568.0,16,29160.5
Canary seed,40,22,12257.0,2,6128.5
Cherries,50,2,176285.0,7,25183.571428571428
Fruit fresh nes,130,27,2688862.0,34,79084.17647058824
Tea,30,21,68283.0,3,22761.0
Cereals Total,190,26,552793.0,25,22111.72
Vegetables fresh nes,40,15,2400645.0,13,184665.0
Soybeans,230,25,297569.0,24,12398.708333333334
Vegetables fresh nes,90,11,1258960.0,9,139884.44444444444
Kapok fruit,240,26,102656.0,8,12832.0
Garlic,240,26,512767.0,9,56974.11111111111
Spices nes,80,24,189817.0,15,12654.466666666667
Lentils,80,24,86025.0,14,6144.642857142857
Areca nuts,80,24,142841.0,13,10987.76923076923
Oil palm fruit,220,25,3750084.0,29,129313.24137931035
Oilcrops Cake Equivalent,70,-1,17573.0,2,8786.5
Cauliflowers and broccoli,70,-1,278961.0,2,139480.5
Vetches,40,21,236063.0,18,13114.611111111111
Wheat,230,25,57625.0,3,19208.333333333332
Carrots and turnips,130,24,1761971.0,19,92735.31578947368
Almonds with shell,70,12,247663.0,20,12383.15
Taro cocoyam,130,10,658694.0,6,109782.33333333333
Peas green,60,20,211053.0,8,26381.625
Plantains and others,70,22,482502.0,15,32166.8
Yams,250,24,294362.0,4,73590.5
Cauliflowers and broccoli,60,16,1073144.0,7,153306.2857142857
Onions dry,50,9,1.1360785E7,56,202871.1607142857
Bananas,80,26,1055852.0,14,75418.0
Yams,100,22,269396.0,4,67349.0
Maize,190,20,9973.0,1,9973.0
Seed cotton,140,26,424685.0,38,11175.921052631578
Lemons and limes,100,23,1194384.0,12,99532.0
Sweet potatoes,140,23,1580520.0,23,68718.26086956522
Cereals Rice Milled Eqv,120,22,400120.0,21,19053.333333333332
Sorghum,40,7,364005.0,11,33091.36363636364
Beans green,20,16,426711.0,6,71118.5
Carobs,50,12,249978.0,6,41663.0
Soybeans,150,12,99666.0,7,14238.0
Vegetables fresh nes,180,28,750493.0,5,150098.6
Barley,90,20,125889.0,17,7405.235294117647
Grapes,120,5,860818.0,8,107602.25
Potatoes,130,23,3272111.0,31,105551.96774193548
Rapeseed,80,0,60552.0,4,15138.0
Plantains and others,110,20,1150937.0,10,115093.7
Dates,120,24,83852.0,3,27950.666666666668
Fruit stone nes,110,10,54924.0,1,54924.0
Fruit citrus nes,0,21,440192.0,3,146730.66666666666
Dates,60,14,218444.0,2,109222.0
Cocoa beans,150,28,2758.0,1,2758.0
Peas dry,10,17,39431.0,7,5633.0
Roots and Tubers Total,10,0,1360534.0,15,90702.26666666666
Lupins,140,19,81057.0,8,10132.125
Watermelons,80,14,60323.0,1,60323.0
Grapefruit inc. pomelos,30,12,311310.0,1,311310.0
Tomatoes,30,12,1799693.0,8,224961.625
Pigeon peas,200,24,84814.0,9,9423.777777777777
Roots and Tubers Total,70,23,1717621.0,21,81791.47619047618
Peaches and nectarines,10,16,1242478.0,15,82831.86666666667
Melons other inc.cantaloupes,10,14,330317.0,3,110105.66666666667
Oilcrops,60,29,42547.0,3,14182.333333333334
Oilcrops Cake Equivalent,60,29,10066.0,3,3355.3333333333335
Tung nuts,140,24,241360.0,11,21941.81818181818
Fruit fresh nes,70,16,306536.0,3,102178.66666666667
Millet,60,6,89077.0,6,14846.166666666666
Groundnuts with shell,150,21,35960.0,4,8990.0
Leeks other alliaceous vegetables,100,2,269200.0,1,269200.0
Treenuts Total,20,18,486260.0,41,11860.0
Maize,90,7,713951.0,8,89243.875
Castor oil seed,40,11,33914.0,4,8478.5
Fruit fresh nes,90,15,41090.0,1,41090.0
Oilcrops Oil Equivalent,0,16,3950.0,2,1975.0
Bananas,0,29,101006.0,1,101006.0
Oats,30,9,76723.0,5,15344.6
Sweet potatoes,190,22,250225.0,3,83408.33333333333
Cereals Rice Milled Eqv,100,20,213844.0,19,11254.947368421053
Apricots,60,12,1208919.0,15,80594.6
Nuts nes,20,12,333047.0,21,15859.380952380952
Vegetables Primary,130,17,134127.0,2,67063.5
Peas dry,130,17,40909.0,2,20454.5
Sugar beet,130,17,491294.0,2,245647.0
Spices nes,240,24,526271.0,6,87711.83333333333
Cashew nuts with shell,240,24,446118.0,5,89223.6
Apples,40,-1,467628.0,3,155876.0
Treenuts Total,50,27,78639.0,8,9829.875
Sugar beet,150,12,2698444.0,5,539688.8
Peas green,150,12,320371.0,5,64074.2
Oilcrops Oil Equivalent,110,10,42064.0,7,6009.142857142857
Leeks other alliaceous vegetables,30,-8,339142.0,3,113047.33333333333
Tangerines mandarins clementines satsumas,30,17,2735499.0,18,151972.16666666666
