agricultrendsmostyield.country,agricultrendsmostyield.crop,agricultrendsmostyield.totalyield
United Kingdom of Great Britain and Northern Ireland,Cucumbers and gherkins,1.78538929E8
Saint Lucia,Fruit Primary,6534510.0
Guinea,Sugar cane,1.8999684E7
Canada,Tomatoes,2.4253489E7
Seychelles,Pineapples,1.0577539E7
Kyrgyzstan,Cabbages and other brassicas,4272202.0
North Macedonia,Sugar beet,6403038.0
Samoa,Mangoes mangosteens guavas,1.9453592E7
Uzbekistan,Chillies and peppers green,1.364523E7
Mozambique,Sugar cane,1.9812481E7
Belize,Sugar cane,2.3491203E7
Brazil,Sugar cane,3.1256731E7
Gambia,Oil palm fruit,5184210.0
Kenya,Sugar cane,4.0085129E7
Lebanon,Sugar beet,2.5041371E7
Lao People's Democratic Republic,Sugar cane,1.2443669E7
Antigua and Barbuda,Fruit Primary,1.09464415E8
Slovenia,Plums and sloes,3.0059836E7
Dominican Republic,Papayas,3.63579E7
Viet Nam,Sugar cane,2.2605286E7
Botswana,Onions dry,7882957.0
Japan,Sugar cane,3.3645294E7
Luxembourg,Tomatoes,1.0611538E7
New Zealand,Mushrooms and truffles,1.6902413E8
Bosnia and Herzegovina,Sugar beet,5117136.0
Haiti,Sugar cane,2.2179159E7
Poland,Sugar beet,1.8453241E7
Portugal,Oilcrops,1.43145159E8
Republic of Moldova,Sugar beet,4809178.0
Australia,Mushrooms and truffles,8.809573E7
Cameroon,Oil palm fruit,9006376.0
Papua New Guinea,Sugar cane,2.4901908E7
Guinea-Bissau,Sugar cane,1.3248492E7
Romania,Mushrooms and truffles,1.11167698E8
Bulgaria,Cauliflowers and broccoli,2.7584419E7
Solomon Islands,Watermelons,9672173.0
Austria,Tomatoes,5.2315775E7
Nepal,Sugar cane,1.4258102E7
Costa Rica,Sugar cane,3.4708452E7
Egypt,Sugar cane,5.1774713E7
El Salvador,Sugar cane,3.8418423E7
Kazakhstan,Chicory roots,7395617.0
Serbia,Sugar beet,3152932.0
Burkina Faso,Fruit Primary,7.0574324E7
South Africa,Sugar cane,3.8098734E7
Bahrain,Chillies and peppers green,1.6050989E7
Colombia,Sugar cane,4.0021629E7
Hungary,Sugar beet,1.9632102E7
Pakistan,Sugar cane,2.186669E7
Vanuatu,Vegetables fresh nes,7956355.0
Mauritius,Sugar cane,3.684382E7
Syrian Arab Republic,Sugar cane,2.1564414E7
Mali,Sugar cane,3.1114647E7
Netherlands,Fruit Primary,7.04096231E8
Democratic People's Republic of Korea,Cabbages and other brassicas,1.0219383E7
